Date,day,Contacts_total,Contacts_Prop
2020-10-09,282,0.9227722772277454,1
2020-10-10,283,0.9348982662382842,1.013140825000691
2020-10-11,284,0.9469026929145354,1.0261499139953405
2020-10-12,285,0.9586644086042799,1.0388959792814367
2020-10-13,286,0.9700622646553002,1.0512477331564691
2020-10-14,287,0.9809751124153774,1.0630738879179258
2020-10-15,288,0.991281803232294,1.0742431558632966
2020-10-16,289,1.000861188453831,1.0846242492900693
2020-10-17,290,1.009592119427771,1.0940858804957336
2020-10-18,291,1.0173534475018953,1.102496761777778
2020-10-19,292,1.0240240240239857,1.1097256054336913
2020-10-20,293,1.0295171064623274,1.1156784093636536
2020-10-21,294,1.0338835767672168,1.1204103138786088
2020-10-22,295,1.0372087230094544,1.1240137448921925
2020-10-23,296,1.0395778332598402,1.1265811283180396
2020-10-24,297,1.0410761955891747,1.1282048900697863
2020-10-25,298,1.0417890980682574,1.1289774560610668
2020-10-26,299,1.041801828767889,1.1289912522055172
2020-10-27,300,1.041199675758869,1.1283387044167725
2020-10-28,301,1.0400679271119984,1.1271122386084684
2020-10-29,302,1.0384918708980762,1.1254042806942395
2020-10-30,303,1.0365567951879033,1.1233072565877218
2020-10-31,304,1.03434798805228,1.1209135922025506
2020-11-01,305,1.0319507375620054,1.1183157134523605
2020-11-02,306,1.029450331787881,1.115606046250788
2020-11-03,307,1.0269320588007054,1.1128770165114668
2020-11-04,308,1.0244812066712796,1.1102210501480334
2020-11-05,309,1.0221830634704037,1.1077305730741227
2020-11-06,310,1.020122917268878,1.1054980112033708
2020-11-07,311,1.018386056137502,1.103615790449412
2020-11-08,312,1.0170577681470763,1.1021763367258819
2020-11-09,313,1.0162233413684008,1.1012720759464159
2020-11-10,314,1.0159680638722755,1.1009954340246493
2020-11-11,315,1.0163592051715047,1.101419310325316
2020-11-12,316,1.0173919605469088,1.1025384980175459
2020-11-13,317,1.0190435067213113,1.1043282637215657
2020-11-14,318,1.0212910204175363,1.1067638740576033
2020-11-15,319,1.0241116783584079,1.1098205956458869
2020-11-16,320,1.0274826572667508,1.1134736951066448
2020-11-17,321,1.0313811338653887,1.1176984390601041
2020-11-18,322,1.0357842848771448,1.122470094126492
2020-11-19,323,1.0406692870248444,1.1277639269260378
2020-11-20,324,1.0460133170313106,1.1335552040789676
2020-11-21,325,1.051793551619368,1.1398191922055103
2020-11-22,326,1.0579871675118406,1.1465311579258937
2020-11-23,327,1.0645713414315523,1.153666367860345
2020-11-24,328,1.0715232501013272,1.1612000886290923
2020-11-25,329,1.0788200702439894,1.1691075868523633
2020-11-26,330,1.0864389785823634,1.1773641291503865
2020-11-27,331,1.0943571518392725,1.1859449821433887
2020-11-28,332,1.102551766737541,1.1948254124515978
2020-11-29,333,1.110999999999993,1.203980686695242
2020-11-30,334,1.1196851172622633,1.213392669994483
2020-12-01,335,1.1286147398112272,1.2230696214692185
2020-12-02,336,1.1378025778465717,1.2330263987392804
2020-12-03,337,1.147262341567983,1.2432778594245004
2020-12-04,338,1.157007741175147,1.25383886114471
2020-12-05,339,1.1670524868677505,1.2647242615197416
2020-12-06,340,1.1774102888454796,1.2759489181694263
2020-12-07,341,1.1880948573080208,1.2875276887135962
2020-12-08,342,1.1991199024550605,1.299475430772083
2020-12-09,343,1.2104991344862852,1.311807001964719
2020-12-10,344,1.2222462636013807,1.324537259911335
2020-12-11,345,1.234375000000034,1.3376810622317636
2020-12-12,346,1.2468680903143312,1.3512197116066993
2020-12-13,347,1.259584426905963,1.3650002909602914
2020-12-14,348,1.2723519385690192,1.3788363282775513
2020-12-15,349,1.2849985540975892,1.3925413515434908
2020-12-16,350,1.2973522022857644,1.4059288887431223
2020-12-17,351,1.3092408119276346,1.4188124678614578
2020-12-18,352,1.32049231181729,1.4310056168835088
2020-12-19,353,1.3309346307488203,1.4423218637942872
2020-12-20,354,1.3403956975163167,1.4525747365788055
2020-12-21,355,1.348703440913869,1.4615777632220754
2020-12-22,356,1.3556857897355672,1.4691444717091087
2020-12-23,357,1.3611706727755013,1.475088390024917
2020-12-24,358,1.3649860188277623,1.479223046154513
2020-12-25,359,1.3669597566864398,1.4813619680829082
2020-12-26,360,1.3669198151456243,1.4813186837951147
2020-12-27,361,1.3646941229994063,1.4789067212761444
2020-12-28,362,1.3601106090418746,1.4739396085110084
2020-12-29,363,1.3529972020671215,1.4662308734847203
2020-12-30,364,1.3431818308692358,1.4555940441822908
2020-12-31,365,1.330492424242308,1.441842648588732
2021-01-01,366,1.3148614691495069,1.4249035234345167
2021-01-02,367,1.2966396852303108,1.4051567404319547
2021-01-03,368,1.276282350293277,1.3830956800388179
2021-01-04,369,1.2542447421469625,1.3592137227128767
2021-01-05,370,1.2309821385999244,1.3340042489119026
2021-01-06,371,1.2069498174607198,1.3079606390936664
2021-01-07,372,1.182603056537906,1.2815762737159397
2021-01-08,373,1.1583971336400403,1.2553445332364936
2021-01-09,374,1.1347873265756785,1.229758798113098
2021-01-10,375,1.1122289131533787,1.2053124488035247
2021-01-11,376,1.0911771711816978,1.1824988657655449
2021-01-12,377,1.0720873784691924,1.161811429456929
2021-01-13,378,1.05541481282442,1.1437435203354487
2021-01-14,379,1.0416147520559378,1.1287885188588749
2021-01-15,380,1.0310349159125338,1.1173232457850146
2021-01-16,381,1.0235927919039192,1.1092582830718165
2021-01-17,382,1.0190983094800379,1.1043876529772672
2021-01-18,383,1.0173613980908318,1.1025053777593508
2021-01-19,384,1.0181919871862448,1.1034054796760537
2021-01-20,385,1.0214000062162196,1.1068819809853612
