date,replicate,shelter_trend,State,state_name
2020-06-05,1,0.5053122125165288,11001,Bogota
2020-06-06,1,0.502609978395053,11001,Bogota
2020-06-07,1,0.5003702653558877,11001,Bogota
2020-06-08,1,0.4985859427947567,11001,Bogota
2020-06-09,1,0.49724777189448316,11001,Bogota
2020-06-10,1,0.4963445042374625,11001,Bogota
2020-06-11,1,0.49586298988053773,11001,Bogota
2020-06-12,1,0.49578829410805797,11001,Bogota
2020-06-13,1,0.49610382203208053,11001,Bogota
2020-06-14,1,0.4967914501671802,11001,Bogota
2020-06-15,1,0.4978316640722077,11001,Bogota
2020-06-16,1,0.49920370112254653,11001,Bogota
2020-06-17,1,0.5008856974539804,11001,Bogota
2020-06-18,1,0.502854838103406,11001,Bogota
2020-06-19,1,0.5050875093625931,11001,Bogota
2020-06-20,1,0.5075594523586352,11001,Bogota
2020-06-21,1,0.5102459168787716,11001,Bogota
2020-06-22,1,0.5131218144681526,11001,Bogota
2020-06-23,1,0.5161618698459859,11001,Bogota
2020-06-24,1,0.5193407697091887,11001,Bogota
2020-06-25,1,0.5226333080218484,11001,Bogota
2020-06-26,1,0.52601452692438,11001,Bogota
2020-06-27,1,0.5294598524368026,11001,Bogota
2020-06-28,1,0.5329452241769189,11001,Bogota
2020-06-29,1,0.5364472183647735,11001,Bogota
2020-06-30,1,0.5399431634403847,11001,Bogota
2020-07-01,1,0.543411247681047,11001,Bogota
2020-07-02,1,0.5468306182674835,11001,Bogota
2020-07-03,1,0.5501814713144026,11001,Bogota
2020-07-04,1,0.5534451324497957,11001,Bogota
2020-07-05,1,0.5566041275981954,11001,Bogota
2020-07-06,1,0.5596422436958242,11001,Bogota
2020-07-07,1,0.5625445791392287,11001,Bogota
2020-07-08,1,0.5652975838432972,11001,Bogota
2020-07-09,1,0.5678890888589718,11001,Bogota
2020-07-10,1,0.5703083255747812,11001,Bogota
2020-07-11,1,0.5725459345993095,11001,Bogota
2020-07-12,1,0.5745939644931567,11001,Bogota
2020-07-13,1,0.5764458605882534,11001,Bogota
2020-07-14,1,0.5780964441995649,11001,Bogota
2020-07-15,1,0.5795418825980679,11001,Bogota
2020-07-16,1,0.5807796501747281,11001,Bogota
2020-07-17,1,0.5818084812820867,11001,Bogota
2020-07-18,1,0.5826283152927969,11001,Bogota
2020-07-19,1,0.5832402344629559,11001,Bogota
2020-07-20,1,0.5836463952312487,11001,Bogota
2020-07-21,1,0.583849953623828,11001,Bogota
2020-07-22,1,0.5838549854675028,11001,Bogota
2020-07-23,1,0.5836664021418513,11001,Bogota
2020-07-24,1,0.5832898626225468,11001,Bogota
2020-07-25,1,0.582731682584603,11001,Bogota
2020-07-26,1,0.5819987413443873,11001,Bogota
2020-07-27,1,0.5810983874239606,11001,Bogota
2020-07-28,1,0.5800383435196749,11001,Bogota
2020-07-29,1,0.5788266116499369,11001,Bogota
2020-07-30,1,0.5774713792440903,11001,Bogota
2020-07-31,1,0.5759809269158729,11001,Bogota
2020-08-01,1,0.574363538641023,11001,Bogota
2020-08-02,1,0.5726274150297532,11001,Bogota
2020-08-03,1,0.5707805903505097,11001,Bogota
2020-08-04,1,0.5688308539232649,11001,Bogota
2020-08-05,1,0.5667856764572925,11001,Bogota
2020-08-06,1,0.5646521418618573,11001,Bogota
2020-08-07,1,0.5624368850075318,11001,Bogota
2020-08-08,1,0.560146035862443,11001,Bogota
2020-08-09,1,0.5577851703711564,11001,Bogota
2020-08-10,1,0.5553592683854638,11001,Bogota
2020-08-11,1,0.5528726788954286,11001,Bogota
2020-08-12,1,0.5503290927474731,11001,Bogota
2020-08-13,1,0.5477315229730507,11001,Bogota
2020-08-14,1,0.5450822927883625,11001,Bogota
2020-08-15,1,0.5423830312621603,11001,Bogota
2020-08-16,1,0.5396346765860154,11001,Bogota
2020-08-17,1,0.5368374868195315,11001,Bogota
2020-08-18,1,0.5339910579227021,11001,Bogota
2020-08-19,1,0.5310943488293016,11001,Bogota
2020-08-20,1,0.5281457132588476,11001,Bogota
2020-08-21,1,0.5251429379115665,11001,Bogota
2020-08-22,1,0.522083286640425,11001,Bogota
2020-08-23,1,0.5189635501476728,11001,Bogota
2020-08-24,1,0.515780100710368,11001,Bogota
2020-08-25,1,0.5125289514007706,11001,Bogota
2020-08-26,1,0.5092058192331378,11001,Bogota
2020-08-27,1,0.5058061916386962,11001,Bogota
2020-08-28,1,0.5023253956461209,11001,Bogota
2020-08-29,1,0.49875866912484473,11001,Bogota
2020-08-30,1,0.49510123343412155,11001,Bogota
2020-08-31,1,0.4913483668116549,11001,Bogota
2020-09-01,1,0.4874954778311929,11001,Bogota
2020-09-02,1,0.4835381782604244,11001,Bogota
2020-09-03,1,0.47947235465693494,11001,Bogota
2020-09-04,1,0.4752942380515801,11001,Bogota
2020-09-05,1,0.47100047108633103,11001,Bogota
2020-09-06,1,0.4665881719950795,11001,Bogota
2020-09-07,1,0.4620549948429543,11001,Bogota
2020-09-08,1,0.4573991854708553,11001,Bogota
2020-09-09,1,0.45261963262806554,11001,Bogota
2020-09-10,1,0.44771591381491094,11001,Bogota
2020-09-11,1,0.4426883354013548,11001,Bogota
2020-09-12,1,0.43753796663409955,11001,Bogota
2020-09-13,1,0.4322666671945658,11001,Bogota
2020-09-14,1,0.42687710802276496,11001,Bogota
2020-09-15,1,0.42137278517645216,11001,Bogota
2020-09-16,1,0.4157580265519743,11001,Bogota
2020-09-17,1,0.41003799135053054,11001,Bogota
2020-09-18,1,0.4042186622327065,11001,Bogota
2020-09-19,1,0.3983068301632415,11001,Bogota
2020-09-20,1,0.39231007200727286,11001,Bogota
2020-09-21,1,0.38623672099807893,11001,Bogota
2020-09-22,1,0.38009583025432764,11001,Bogota
2020-09-23,1,0.373897129581257,11001,Bogota
2020-09-24,1,0.36765097584520195,11001,Bogota
2020-09-25,1,0.3613682972634205,11001,Bogota
2020-09-26,1,0.35506053200105847,11001,Bogota
2020-09-27,1,0.34873956151441865,11001,Bogota
2020-09-28,1,0.3424176391231003,11001,Bogota
2020-09-29,1,0.33610731433407137,11001,Bogota
2020-09-30,1,0.3298213534761457,11001,Bogota
2020-10-01,1,0.32357265723580964,11001,Bogota
2020-10-02,1,0.31737417571248117,11001,Bogota
2020-10-03,1,0.31123882163354677,11001,Bogota
2020-10-04,1,0.3051793823879244,11001,Bogota
2020-10-05,1,0.2992084315489162,11001,Bogota
2020-10-06,1,0.2933382405654953,11001,Bogota
2020-10-07,1,0.2875806913027482,11001,Bogota
2020-10-08,1,0.28194719011015534,11001,Bogota
2020-10-09,1,0.27644858408790673,11001,Bogota
2020-10-10,1,0.2710950802086276,11001,Bogota
2020-10-11,1,0.2658961679334838,11001,Bogota
2020-10-12,1,0.26086054593872,11001,Bogota
2020-10-13,1,0.2559960535408241,11001,Bogota
2020-10-14,1,0.25130960737596497,11001,Bogota
2020-10-15,1,0.24680714385264463,11001,Bogota
2020-10-16,1,0.24249356785617804,11001,Bogota
2020-10-17,1,0.23837270813820816,11001,Bogota
