zipcode,Grade,InPerson,Total_students,Capacity
27001,SECONDARY,39.31047694878245,34940,0.0011250852017396238
27001,UNIVERSITY,0.44022489138768217,13398,3.285750794056443e-05
27006,UNIVERSITY,0.011349226631618659,10,0.001134922663161866
27025,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
27099,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
27250,UNIVERSITY,0.023833375926399183,21,0.001134922663161866
27361,UNIVERSITY,0.9735405790223065,1125,0.0008653694035753836
27413,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
27615,SECONDARY,2.5282775676637534,25372,9.96483354746868e-05
27787,UNIVERSITY,0.001134922663161866,1,0.001134922663161866
