Date,state_name,State,FacemaskTrends
2020-06-11,Bogota,11001,0.9277506955545194
2020-06-12,Bogota,11001,0.92260252173791
2020-06-13,Bogota,11001,0.9173369704226835
2020-06-14,Bogota,11001,0.9119606498738976
2020-06-15,Bogota,11001,0.906480178809387
2020-06-16,Bogota,11001,0.9009021796089924
2020-06-17,Bogota,11001,0.895233271562941
2020-06-18,Bogota,11001,0.8894800641654935
2020-06-19,Bogota,11001,0.8836491504624067
2020-06-20,Bogota,11001,0.8777471004593271
2020-06-21,Bogota,11001,0.871780454599304
2020-06-22,Bogota,11001,0.8657557173159305
2020-06-23,Bogota,11001,0.8596793506696987
2020-06-24,Bogota,11001,0.8535577680752076
2020-06-25,Bogota,11001,0.8473973281246422
2020-06-26,Bogota,11001,0.8412043285168367
2020-06-27,Bogota,11001,0.8349850000951257
2020-06-28,Bogota,11001,0.8287455010040965
2020-06-29,Bogota,11001,0.8224919109687912
2020-06-30,Bogota,11001,0.8162302257035104
2020-07-01,Bogota,11001,0.8099663514564756
2020-07-02,Bogota,11001,0.8037060996952415
2020-07-03,Bogota,11001,0.7974551819391603
2020-07-04,Bogota,11001,0.791219204743611
2020-07-05,Bogota,11001,0.7850036648413244
2020-07-06,Bogota,11001,0.7788139444458236
2020-07-07,Bogota,11001,0.7726553067218493
2020-07-08,Bogota,11001,0.7665328914259567
2020-07-09,Bogota,11001,0.7604517107234311
2020-07-10,Bogota,11001,0.7544166451841238
2020-07-11,Bogota,11001,0.7484324399611263
2020-07-12,Bogota,11001,0.7425037011559569
2020-07-13,Bogota,11001,0.7366348923741498
2020-07-14,Bogota,11001,0.7308303314727567
2020-07-15,Bogota,11001,0.7250941875039816
2020-07-16,Bogota,11001,0.7194304778564944
2020-07-17,Bogota,11001,0.713843065597194
2020-07-18,Bogota,11001,0.7083356570152808
2020-07-19,Bogota,11001,0.7029117993699655
2020-07-20,Bogota,11001,0.697574878844036
2020-07-21,Bogota,11001,0.6923281187040743
2020-07-22,Bogota,11001,0.6871745776676301
2020-07-23,Bogota,11001,0.6821171484797317
2020-07-24,Bogota,11001,0.6771585566972944
2020-07-25,Bogota,11001,0.6723013596827971
2020-07-26,Bogota,11001,0.6675479458067465
2020-07-27,Bogota,11001,0.662900533858422
2020-07-28,Bogota,11001,0.6583611726650306
2020-07-29,Bogota,11001,0.653931740917119
2020-07-30,Bogota,11001,0.6496139472003952
2020-07-31,Bogota,11001,0.6454093302321696
2020-08-01,Bogota,11001,0.6413192593004183
2020-08-02,Bogota,11001,0.6373449349041075
2020-08-03,Bogota,11001,0.6334873895927764
2020-08-04,Bogota,11001,0.62974748900243
2020-08-05,Bogota,11001,0.6261259330858183
2020-08-06,Bogota,11001,0.6226232575340426
2020-08-07,Bogota,11001,0.619239835386595
2020-08-08,Bogota,11001,0.6159758788262839
2020-08-09,Bogota,11001,0.6128314411561783
2020-08-10,Bogota,11001,0.609806418954165
2020-08-11,Bogota,11001,0.6069005544023194
2020-08-12,Bogota,11001,0.6041134377856372
2020-08-13,Bogota,11001,0.6014445101570686
2020-08-14,Bogota,11001,0.5988930661641494
2020-08-15,Bogota,11001,0.5964582570320177
2020-08-16,Bogota,11001,0.5941390936986587
2020-08-17,Bogota,11001,0.5919344500973649
2020-08-18,Bogota,11001,0.5898430665808225
2020-08-19,Bogota,11001,0.5878635534823428
2020-08-20,Bogota,11001,0.5859943948077855
2020-08-21,Bogota,11001,0.5842339520538278
2020-08-22,Bogota,11001,0.5825804681457125
2020-08-23,Bogota,11001,0.5810320714895245
2020-08-24,Bogota,11001,0.5795867801326633
2020-08-25,Bogota,11001,0.5782425060266954
2020-08-26,Bogota,11001,0.5769970593861291
2020-08-27,Bogota,11001,0.5758481531372851
2020-08-28,Bogota,11001,0.5747934074505902
2020-08-29,Bogota,11001,0.5738303543504156
2020-08-30,Bogota,11001,0.5729564423953329
2020-08-31,Bogota,11001,0.5721690414228406
2020-09-01,Bogota,11001,0.5714654473516297
2020-09-02,Bogota,11001,0.5708428870354189
2020-09-03,Bogota,11001,0.5702985231605278
2020-09-04,Bogota,11001,0.5698294591821714
2020-09-05,Bogota,11001,0.5694327442911801
2020-09-06,Bogota,11001,0.5691053784056541
2020-09-07,Bogota,11001,0.5688443171803826
2020-09-08,Bogota,11001,0.5686464770272509
2020-09-09,Bogota,11001,0.5685087401403901
2020-09-10,Bogota,11001,0.568427959519125
2020-09-11,Bogota,11001,0.5684009639822959
2020-09-12,Bogota,11001,0.5684245631673743
2020-09-13,Bogota,11001,0.568495552507859
2020-09-14,Bogota,11001,0.5686107181826295
2020-09-15,Bogota,11001,0.5687668420306611
2020-09-16,Bogota,11001,0.5689607064253107
2020-09-17,Bogota,11001,0.56918909910133475
2020-09-18,Bogota,11001,0.5694488179290055
2020-09-19,Bogota,11001,0.5697366756293526
2020-09-20,Bogota,11001,0.570049504424012
2020-09-21,Bogota,11001,0.5703841606148162
2020-09-22,Bogota,11001,0.5707375290867048
2020-09-23,Bogota,11001,0.5711065277287649
2020-09-24,Bogota,11001,0.5714881117680023
2020-09-25,Bogota,11001,0.5718792780103453
2020-09-26,Bogota,11001,0.5722770689842512
2020-09-27,Bogota,11001,0.5726785769812766
2020-09-28,Bogota,11001,0.5730809479892907
2020-09-29,Bogota,11001,0.573481385513811
2020-09-30,Bogota,11001,0.5738771542822879
2020-10-01,Bogota,11001,0.5742655838279536
2020-10-02,Bogota,11001,0.5746440719484007
2020-10-03,Bogota,11001,0.5750100880353027
2020-10-04,Bogota,11001,0.5753611762714754
2020-10-05,Bogota,11001,0.5756949586917866
2020-10-06,Bogota,11001,0.5760091381043588
2020-10-07,Bogota,11001,0.5763015008691124
2020-10-08,Bogota,11001,0.5765699195307186
2020-10-09,Bogota,11001,0.5768123553031171
2020-10-10,Bogota,11001,0.5770268604029695
2020-10-11,Bogota,11001,0.5772115802300247
2020-10-12,Bogota,11001,0.5773647553920745
2020-10-13,Bogota,11001,0.5774847235727384
2020-10-14,Bogota,11001,0.5775699212402059
2020-10-15,Bogota,11001,0.5776188851958193
2020-10-16,Bogota,11001,0.5776302539607989
2020-10-17,Bogota,11001,0.5776027690008146
2020-10-18,Bogota,11001,0.5775352757868845
2020-10-19,Bogota,11001,0.5774267246923027
2020-10-20,Bogota,11001,0.5772761717256737
2020-10-21,Bogota,11001,0.5770827790992878
2020-10-22,Bogota,11001,0.5768458156331924
2020-10-23,Bogota,11001,0.5765646569956431
2020-10-24,Bogota,11001,0.576238785779915
2020-10-25,Bogota,11001,0.5758677914185921
2020-10-26,Bogota,11001,0.5754513699362154
2020-10-27,Bogota,11001,0.5749893235414438
2020-10-28,Bogota,11001,0.574481560060313
2020-10-29,Bogota,11001,0.5739280922119498
2020-10-30,Bogota,11001,0.5733290367287917
2020-10-31,Bogota,11001,0.5726846133231802
2020-11-01,Bogota,11001,0.5719951435027225
2020-11-02,Bogota,11001,0.5712610492365717
2020-11-03,Bogota,11001,0.5704828514756092
2020-11-04,Bogota,11001,0.5696611685290105
2020-11-05,Bogota,11001,0.5687967143003186
2020-11-06,Bogota,11001,0.5678902963862834
2020-11-07,Bogota,11001,0.566942814041537
2020-11-08,Bogota,11001,0.565955256013068
2020-11-09,Bogota,11001,0.5649286982475028
2020-11-10,Bogota,11001,0.5638643014757623
2020-11-11,Bogota,11001,0.5627633086786701
2020-11-12,Bogota,11001,0.5616270424374765
