Date,variant,scaled_imports
2019-10-14,Otros,0.0
2019-10-24,Otros,0.00035897388476272815
2019-11-01,Otros,0.0007179475452970948
2019-11-03,Otros,0.0014358943723332877
2019-11-09,Otros,0.0017948677159386757
2019-12-04,Otros,0.0021538407965358886
2019-12-19,Otros,0.005384580273137116
2020-01-04,Otros,0.006102517266482524
2020-01-07,Otros,0.006461480839712344
2020-01-08,Otros,0.006820443128007453
2020-01-11,Otros,0.007179404907779063
2020-01-24,Otros,0.008256285670382406
2020-02-02,Otros,0.010051041035857865
2020-02-07,Otros,0.01040998259673956
2020-02-08,Otros,0.010768916974252151
2020-02-12,Otros,0.011127849842955692
2020-02-13,Otros,0.011486775724533441
2020-02-15,Otros,0.011845699621357347
2020-02-17,Otros,0.012563539475989788
2020-02-19,Otros,0.013281371391606853
2020-02-23,Otros,0.013999192852689324
2020-02-24,Otros,0.015434793956715903
2020-02-25,Otros,0.015793691619088897
2020-02-28,Otros,0.01615258583570666
2020-03-01,Otros,0.01758812135311489
2020-03-02,Otros,0.01902362930448124
2020-03-03,Otros,0.019382502846567593
2020-03-04,Otros,0.02045910982753631
2020-03-05,Otros,0.021176838717988557
2020-03-06,Otros,0.02297113820196861
2020-03-07,Otros,0.0236888488987004
2020-03-08,Otros,0.027277356898058217
2020-03-09,Otros,0.029430434407092216
2020-03-11,Otros,0.035530743359376615
2020-03-12,Otros,0.040195529190391203
2020-03-13,Otros,0.041630823860092994
2020-03-14,Otros,0.04198964151563507
2020-03-15,Otros,0.04486013466490474
2020-03-17,Otros,0.045218940296680075
2020-03-18,Otros,0.06172335677777996
2020-03-19,Otros,0.06315849159927293
2020-03-22,Otros,0.06351706921073796
2020-03-23,Otros,0.07499690746928457
2020-03-24,Otros,0.07966011942839472
2020-03-25,Otros,0.09400921432065985
2020-03-26,Otros,0.09795491512970392
2020-03-27,Otros,0.09687644931310438
2020-03-28,Otros,0.10369124863289853
2020-03-29,Otros,0.10620181451348708
2020-03-30,Otros,0.1205487582297483
2020-03-31,Otros,0.14027532131008486
2020-04-01,Otros,0.15031677917951433
2020-04-02,Otros,0.16681277004810602
2020-04-03,Otros,0.17147462162315025
2020-04-04,Otros,0.18259133778177214
2020-04-05,Otros,0.1983694083947565
2020-04-06,Otros,0.21952564704242764
2020-04-07,Otros,0.2234695880288532
2020-04-08,Otros,0.2274129431207146
2020-04-09,Otros,0.25035841072700926
2020-04-10,Otros,0.2797559521709307
2020-04-11,Otros,0.3037736812972459
2020-04-12,Otros,0.32635743916745125
2020-04-13,Otros,0.3500153901773397
2020-04-14,Otros,0.3647097338749391
2020-04-15,Otros,0.3797614065997641
2020-04-16,Otros,0.3876455532461986
2020-04-17,Otros,0.3919444571601947
2020-04-18,Otros,0.4087855158601417
2020-04-19,Otros,0.4087828054500305
2020-04-20,Otros,0.46933320214146645
2020-04-21,Otros,0.4772092777117038
2020-04-22,Otros,0.5087303069537542
2020-04-23,Otros,0.5191072955148551
2020-04-24,Otros,0.5187405384219532
2020-04-25,Otros,0.5187377877649016
2020-04-26,Otros,0.5273315437297529
2020-04-27,Otros,0.52553526023989
2020-04-28,Otros,0.5369916699361436
2020-04-29,Otros,0.5376709020930558
2020-04-30,Otros,0.5387414069941283
2020-05-01,Otros,0.5412449949505849
2020-05-02,Otros,0.5469413345694398
2020-05-03,Otros,0.5472852331801668
2020-05-04,Otros,0.5518968496579144
2020-05-05,Otros,0.5508117258870713
2020-05-06,Otros,0.550447796021482
2020-05-07,Otros,0.5436302791619171
2020-05-08,Otros,0.544336256655021
2020-05-09,Otros,0.5360652005772124
2020-05-10,Otros,0.5166945409781082
2020-05-11,Otros,0.5095073119285508
2020-05-12,Otros,0.49157388026079546
2020-05-13,Otros,0.4911971493074395
2020-05-14,Otros,0.48079296838740215
2020-05-15,Otros,0.4653701199554996
2020-05-16,Otros,0.45170892267014956
2020-05-18,Otros,0.4520460112515396
2020-05-19,Otros,0.4502389080623836
2020-05-20,Otros,0.428002231104167
2020-05-22,Otros,0.4028785655696878
2020-05-23,Otros,0.3777815734940394
2020-05-24,Otros,0.35946993819881085
2020-05-26,Otros,0.34400012890526116
2020-05-27,Otros,0.3303614020028462
2020-05-28,Otros,0.3170758555428684
2020-05-29,Otros,0.309544026091289
2020-05-30,Otros,0.3063012368071638
2020-05-31,Otros,0.2901636965573345
2020-06-01,Otros,0.28872727755194405
2020-06-02,Otros,0.22923431167284752
2020-06-03,Otros,0.21883424358065703
2020-06-04,Otros,0.18906127234391681
2020-06-05,Otros,0.17293843370430767
2020-06-06,Otros,0.17005748122391576
2020-06-07,Otros,0.17499836380278
2020-06-08,Otros,0.17453913688010145
2020-06-09,Otros,0.17629452431183149
2020-06-10,Otros,0.16518620072471793
2020-06-11,Otros,0.1515344731319384
2020-06-12,Otros,0.1500876484251393
2020-06-13,Otros,0.14933530098103603
2020-06-14,Otros,0.13426716509014006
2020-06-15,Otros,0.12889428473405237
2020-06-16,Otros,0.11203806294439232
2020-06-17,Otros,0.1207723997066992
2020-06-18,Otros,0.12390150749586891
2020-06-19,Otros,0.12915172701901223
2020-06-20,Otros,0.1304841973913377
2020-06-21,Otros,0.1272014304419988
2020-06-22,Otros,0.13278464053731198
2020-06-23,Otros,0.1316499686249772
2020-06-24,Otros,0.13478370876153323
2020-06-25,Otros,0.13432352136063483
2020-06-26,Otros,0.13534129370448872
2020-06-27,Otros,0.14332108252581227
2020-06-28,Otros,0.1417186685764572
2020-06-29,Otros,0.13915987077911424
2020-06-30,Otros,0.13769141917938404
2020-07-01,Otros,0.14214369251141173
2020-07-02,Otros,0.13818766945646577
2020-07-03,Otros,0.1433454455111867
2020-07-04,Otros,0.14146674130837472
2020-07-05,Otros,0.1349803865986944
2020-07-06,Otros,0.1372891936009498
2020-07-07,Otros,0.135456605796751
2020-07-08,Otros,0.13850177086615392
2020-07-09,Otros,0.1384133223351224
2020-07-10,Otros,0.13971157474215393
2020-07-11,Otros,0.14139138121526965
2020-07-12,Otros,0.14164656797868552
2020-07-14,Otros,0.14328295917245432
2020-07-15,Otros,0.14173269314462786
2020-07-16,Otros,0.1417130726446208
2020-07-17,Otros,0.14463589362993512
2020-07-18,Otros,0.13959381953905806
2020-07-19,Otros,0.13143231084219772
2020-07-20,Otros,0.12992606525725942
2020-07-21,Otros,0.12987884902083352
2020-07-22,Otros,0.1293040404494246
2020-07-23,Otros,0.12955441884585572
2020-07-24,Otros,0.13034591337179233
2020-07-25,Otros,0.1288531745863146
2020-07-26,Otros,0.12882448679978545
2020-07-28,Otros,0.12732768253980362
2020-07-29,Otros,0.11760940372660647
2020-07-30,Otros,0.11332754275742107
2020-07-31,Otros,0.10957563001357123
2020-08-01,Otros,0.10655549725033639
2020-08-02,Otros,0.10496873169994779
2020-08-03,Otros,0.10116254603541182
2020-08-04,Otros,0.09898592624035361
2020-08-05,Otros,0.09611087663861226
2020-08-06,Otros,0.09376357883845188
2020-08-07,Otros,0.09441204486796559
2020-08-08,Otros,0.08904321828277761
2020-08-09,Otros,0.0839931729988384
2020-08-10,Otros,0.08340437040990767
2020-08-11,Otros,0.08320498716708043
2020-08-12,Otros,0.07938644110812154
2020-08-13,Otros,0.0809797311716797
2020-08-14,Otros,0.07633525280879108
2020-08-15,Otros,0.07530883724093172
2020-08-16,Otros,0.07467526371790992
2020-08-17,Otros,0.07072488341002796
2020-08-18,Otros,0.07104162378557237
2020-08-19,Otros,0.06895602201291548
2020-08-20,Otros,0.06856747021292314
2020-08-21,Otros,0.06639486664063637
2020-08-22,Otros,0.06490177535639974
2020-08-23,Otros,0.06475050727181347
2020-08-24,Otros,0.06258146402208302
2020-08-25,Otros,0.06049402078730807
2020-08-26,Otros,0.061202098987175386
2020-08-27,Otros,0.05789432988444168
2020-08-28,Otros,0.05835032187099495
2020-08-29,Otros,0.05928167296217919
2020-08-30,Otros,0.05995784713657239
2020-08-31,Otros,0.06028714603904359
2020-09-01,Otros,0.057819126552032675
2020-09-02,Otros,0.05675170580537841
2020-09-03,Otros,0.05564240880998431
2020-09-04,Otros,0.05490435695823943
2020-09-05,Otros,0.05574812361375492
2020-09-06,Otros,0.05501214230386999
2020-09-07,Otros,0.054827665972017596
2020-09-08,Otros,0.05509259415108259
2020-09-10,Otros,0.05376867926990349
2020-09-12,Otros,0.05209778383092668
2020-09-13,Otros,0.05095545719620588
2020-09-15,Otros,0.04867233604013132
2020-09-16,Otros,0.048255989280568276
2020-09-18,Otros,0.04824268584676798
2020-09-19,Otros,0.04699338717411856
2020-09-21,Otros,0.04444886806119707
2020-09-22,Otros,0.04131179853233126
2020-09-24,Otros,0.040296003248818345
2020-09-26,Otros,0.038984692837617595
2020-09-27,Otros,0.03815118113731341
2020-10-01,Otros,0.036438906455099014
2020-10-02,Otros,0.03447209006587864
2020-10-06,Otros,0.03409289966195799
2020-10-10,Otros,0.03283365821933797
2020-10-11,Otros,0.031555050501703104
2020-10-12,Otros,0.031145681673545735
2020-10-13,Otros,0.030329735705504225
2020-10-14,Otros,0.028945956389190144
2020-10-15,Otros,0.027716238851735672
2020-10-16,Otros,0.030120160537058804
2020-10-17,Otros,0.030968565529580636
2020-10-18,Otros,0.02991476282420986
2020-10-19,Otros,0.031015581033031953
2020-10-20,Otros,0.03115586685515658
2020-10-21,Otros,0.03291280588548343
2020-10-22,Otros,0.03254108886205214
2020-10-23,Otros,0.033108828184356766
2020-10-24,Otros,0.034178326690576785
2020-10-25,Otros,0.032692199095990075
2020-10-26,Otros,0.03310138285200947
2020-10-27,Otros,0.03324159513312697
2020-10-28,Otros,0.038366670409448765
2020-10-29,Otros,0.03968095473606587
2020-10-30,Otros,0.04251245834089678
2020-10-31,Otros,0.04377837259617602
2020-11-01,Otros,0.04499498970511484
2020-11-02,Otros,0.04390031585374581
2020-11-03,Otros,0.04323681025878911
2020-11-04,Otros,0.04658065803435284
2020-11-05,Otros,0.05033101844976697
2020-11-06,Otros,0.05233930396155745
2020-11-07,Otros,0.05580620101673777
2020-11-08,Otros,0.05856553487182204
2020-11-09,Otros,0.059658486078695
2020-11-10,Otros,0.061313868021079215
2020-11-11,Otros,0.07180649522051619
2020-11-12,Otros,0.0762589500023271
2020-11-13,Otros,0.08177585509222388
2020-11-14,Otros,0.08801656705498291
2020-11-15,Otros,0.09220069839624663
2020-11-16,Otros,0.09624775936112456
2020-11-17,Otros,0.0963302434657063
2020-11-18,Otros,0.1028091073919809
2020-11-19,Otros,0.1091554350352019
2020-11-20,Otros,0.1143127079398291
2020-11-21,Otros,0.1203775215271086
2020-11-22,Otros,0.12360663784726668
2020-11-23,Otros,0.12596369442864166
2020-11-24,Otros,0.12735412638707788
2020-11-25,Otros,0.13121263671128924
2020-11-26,Otros,0.13787060883643237
2020-11-27,Otros,0.14158027738901352
2020-11-28,Otros,0.14904387305467945
2020-11-29,Otros,0.156888010009944
2020-11-30,Otros,0.16217379303194046
2020-12-01,Otros,0.16390042409982558
2020-12-02,Otros,0.16874122053130616
2020-12-03,Otros,0.17119659562061468
2020-12-04,Otros,0.1777576217742265
2020-12-05,Otros,0.18106602292948057
2020-12-06,Otros,0.1887619822626218
2020-12-07,Otros,0.18792950289811047
2020-12-08,Otros,0.18779009683191256
2020-12-09,Otros,0.1863252487186178
2020-12-10,Otros,0.19403617272994134
2020-12-11,Otros,0.20289855153158362
2020-12-12,Otros,0.21120087964341022
2020-12-13,Otros,0.21833331894005137
2020-12-14,Otros,0.21808789939096346
2020-12-15,Otros,0.21588485243734118
2020-12-16,Otros,0.2236780694700265
2020-12-17,Otros,0.225347966206537
2020-12-18,Otros,0.2266968638099692
2020-12-19,Otros,0.22757613372262744
2020-12-20,Otros,0.2300286814013494
2020-12-21,Otros,0.22461531332709372
2020-12-22,Otros,0.22191997859050214
2020-12-23,Otros,0.22106054997453264
2020-12-24,Otros,0.21949929621095163
2020-12-25,Otros,0.21976335616781467
2020-12-26,Otros,0.21781299006780108
2020-12-27,Otros,0.21962872161672978
2020-12-28,Otros,0.21518720163532554
2020-12-29,Otros,0.2095148847424571
2020-12-30,Otros,0.2048420669810865
2020-12-31,Otros,0.20201337940313704
2021-01-01,Otros,0.20024006714881143
2021-01-02,Otros,0.19847272733555427
2021-01-03,Otros,0.1979193032016644
2021-01-04,Otros,0.19307529839923604
2021-01-05,Otros,0.18664071767003654
2021-01-06,Otros,0.18312288515985928
2021-01-07,Otros,0.1750906280852532
2021-01-08,Otros,0.16776693662001016
2021-01-09,Otros,0.16053014016633654
2021-01-10,Otros,0.15999233054109677
2021-01-11,Otros,0.15373523018309082
2021-01-12,Otros,0.14958181053929534
2021-01-13,Otros,0.14398213515077635
2021-01-14,Otros,0.14083650295285804
2021-01-15,Otros,0.13349716467549855
