Date,variant,scaled_imports
2019-12-02,Otros,0.0
2019-12-03,Otros,0.0003820684382716302
2019-12-07,Otros,0.000764125836958885
2019-12-15,Otros,0.0011461390773086378
2019-12-17,Otros,0.0015280525457248137
2019-12-21,Otros,0.0030555938813106383
2019-12-22,Otros,0.003437418472304766
2019-12-28,Otros,0.0038192278775733106
2020-01-03,Otros,0.004200933068269697
2020-01-06,Otros,0.004582519153904851
2020-01-09,Otros,0.004964042619398052
2020-01-12,Otros,0.005726942769601425
2020-01-15,Otros,0.006489696139021766
2020-01-20,Otros,0.007252285929769893
2020-01-21,Otros,0.008395740671850066
2020-01-22,Otros,0.009920212704680123
2020-01-23,Otros,0.0106823815761234
2020-01-24,Otros,0.011063432439359162
2020-01-25,Otros,0.011825467020858934
2020-01-26,Otros,0.013349401893914972
2020-01-28,Otros,0.014492252331249374
2020-01-30,Otros,0.015254006860758616
2020-01-31,Otros,0.016396402803796666
2020-02-01,Otros,0.017157921482080094
2020-02-02,Otros,0.021726561849329026
2020-02-03,Otros,0.036953790731986694
2020-02-04,Otros,0.04266341193491878
2020-02-05,Otros,0.058267823666712536
2020-02-06,Otros,0.06017057067999381
2020-02-07,Otros,0.06511711484385355
2020-02-08,Otros,0.07348717746309506
2020-02-09,Otros,0.1001159745074151
2020-02-10,Otros,0.12293789736208434
2020-02-11,Otros,0.12369853611303411
2020-02-12,Otros,0.1347262372838384
2020-02-13,Otros,0.15677851818951263
2020-02-14,Otros,0.2263474178957608
2020-02-15,Otros,0.26359762009081145
2020-02-16,Otros,0.2829801846854912
2020-02-17,Otros,0.2852601634953467
2020-02-18,Otros,0.3293335109473514
2020-02-19,Otros,0.3578223017586055
2020-02-20,Otros,0.36427694682267653
2020-02-21,Otros,0.39123721294273706
2020-02-22,Otros,0.41021953825708696
2020-02-23,Otros,0.4140067893841165
2020-02-24,Otros,0.43450104581909166
2020-02-25,Otros,0.4724489572081259
2020-02-26,Otros,0.5046981167957114
2020-02-27,Otros,0.5369410722635701
2020-02-28,Otros,0.5430073361421235
2020-02-29,Otros,0.5532414703874274
2020-03-01,Otros,0.5642318882767633
2020-03-02,Otros,0.575220190442813
2020-03-03,Otros,0.6328197989749299
2020-03-04,Otros,0.6369788516514322
2020-03-05,Otros,0.682811024898677
2020-03-06,Otros,0.6998515509017756
2020-03-07,Otros,0.7520996867041937
2020-03-08,Otros,0.7672323133555911
2020-03-09,Otros,0.7763082166047455
2020-03-10,Otros,0.8349531427405349
2020-03-11,Otros,0.8580210710687342
2020-03-12,Otros,0.8704960670252667
2020-03-13,Otros,0.8814289505304678
2020-03-14,Otros,0.8956846112237236
2020-03-15,Otros,0.9103808113126568
2020-03-16,Otros,0.9110211715729244
2020-03-17,Otros,0.9317795372106096
2020-03-18,Otros,0.9445787079973247
2020-03-19,Otros,0.9633851602582587
2020-03-20,Otros,0.9556231026095523
2020-03-21,Otros,0.9599608743340744
2020-03-22,Otros,0.9784323953867867
2020-03-23,Otros,0.9760753346104097
2020-03-24,Otros,1.0030158361575545
2020-03-25,Otros,0.9473860014504341
2020-03-26,Otros,0.9187974938141015
2020-03-27,Otros,0.9400725384502587
2020-03-28,Otros,0.9453190251176734
2020-03-29,Otros,0.9110265449435916
2020-03-30,Otros,0.9144960830572946
2020-03-31,Otros,0.9223200679838363
2020-04-01,Otros,0.8983595988999878
2020-04-02,Otros,0.8831269417860236
2020-04-03,Otros,0.8886999084435222
2020-04-04,Otros,0.8847114996781377
2020-04-05,Otros,0.8527588739965164
2020-04-06,Otros,0.8276273067793167
2020-04-07,Otros,0.8009996694527953
2020-04-08,Otros,0.8016697074050806
2020-04-09,Otros,0.797038123325009
2020-04-10,Otros,0.7923957804161891
2020-04-11,Otros,0.7907447782842301
2020-04-12,Otros,0.7391055464135735
2020-04-13,Otros,0.7397749511682319
2020-04-14,Otros,0.6976628202856352
2020-04-15,Otros,0.6854674955981646
2020-04-16,Otros,0.6365613135765202
2020-04-17,Otros,0.6266165196051242
2020-04-18,Otros,0.6249689942007853
2020-04-19,Otros,0.5718939333312125
2020-04-20,Otros,0.5510337181859639
2020-04-21,Otros,0.5441215515647124
