Date,variant,scaled_imports
2019-11-09,Otros,0.0
2019-11-10,Otros,0.00036196429034054885
2019-11-12,Otros,0.0014478061963959013
2019-11-13,Otros,0.0018097164056863164
2019-11-15,Otros,0.0032572768252242257
2019-11-16,Otros,0.005790226097732439
2019-11-17,Otros,0.006513885681065768
2019-11-18,Otros,0.014835508488062478
2019-11-20,Otros,0.015920877236626843
2019-11-21,Otros,0.029305331655435522
2019-11-23,Otros,0.03907172374532158
2019-11-24,Otros,0.03943339439933728
2019-11-25,Otros,0.05245268165626106
2019-11-26,Otros,0.06872572036786397
2019-11-27,Otros,0.08572068301975835
2019-11-28,Otros,0.0860822498373589
2019-11-29,Otros,0.08680532720768049
2019-11-30,Otros,0.154407800566513
2019-12-01,Otros,0.1591070720301695
2019-12-02,Otros,0.16055288918153554
2019-12-03,Otros,0.19524980010010382
2019-12-04,Otros,0.263553057113277
2019-12-05,Otros,0.2736711268400051
2019-12-06,Otros,0.31919824970510974
2019-12-07,Otros,0.33979195702031734
2019-12-08,Otros,0.3686927449915938
2019-12-09,Otros,0.3690539715800826
2019-12-10,Otros,0.37158232487143905
2019-12-11,Otros,0.4351454323242387
2019-12-12,Otros,0.4488677913764282
2019-12-13,Otros,0.48136457775274205
2019-12-15,Otros,0.5073591766980643
2019-12-16,Otros,0.5091639641031938
2019-12-17,Otros,0.5333454817147919
2019-12-18,Otros,0.5528325558753152
2019-12-19,Otros,0.5661830924977312
2019-12-20,Otros,0.6358134172111158
2019-12-21,Otros,0.649521250498504
2019-12-22,Otros,0.6646700635626674
2019-12-23,Otros,0.6772924494136787
2019-12-25,Otros,0.6823407537397667
2019-12-26,Otros,0.6841416907437784
2019-12-27,Otros,0.6981938559392888
2019-12-28,Otros,0.6996338153898397
2019-12-29,Otros,0.7093561477964155
2019-12-30,Otros,0.7082642557834186
2019-12-31,Otros,0.7115029007697437
2020-01-01,Otros,0.7165066375242012
2020-01-02,Otros,0.7172216697740966
2020-01-03,Otros,0.7157177283855527
2020-01-05,Otros,0.7145901577288989
2020-01-06,Otros,0.7214249188030979
2020-01-07,Otros,0.7138019855425304
2020-01-08,Otros,0.6993273504856071
2020-01-09,Otros,0.6913225010532494
2020-01-10,Otros,0.6938371608486649
2020-01-11,Otros,0.6959897004741235
2020-01-12,Otros,0.6301841067268811
2020-01-13,Otros,0.6258441349833881
2020-01-14,Otros,0.627990553012113
2020-01-15,Otros,0.5950893110592963
2020-01-16,Otros,0.5314536269339132
2020-01-17,Otros,0.5234892832677815
2020-01-18,Otros,0.4797564834955469
2020-01-19,Otros,0.46418562469235214
2020-01-20,Otros,0.4377956329030706
2020-01-21,Otros,0.4438891243065395
2020-01-22,Otros,0.4517569786911208
2020-01-23,Otros,0.3907025620083766
2020-01-24,Otros,0.3816378282867852
2020-01-25,Otros,0.35021556195281156
2020-01-26,Otros,0.32529516647741646
2020-01-27,Otros,0.32492222826897216
2020-01-28,Otros,0.30217213775750823
2020-01-29,Otros,0.28518919347269794
2020-01-30,Otros,0.27362670136898976
2020-01-31,Otros,0.20721374136846524
2020-02-01,Otros,0.1967221573731232
2020-02-02,Otros,0.1830022926961741
2020-02-03,Otros,0.17216547265095064
2020-02-04,Otros,0.16818813600139737
2020-02-05,Otros,0.16780945420393725
2020-02-06,Otros,0.15409824139535233
2020-02-07,Otros,0.15550535095951973
2020-02-08,Otros,0.1457610898173215
2020-02-09,Otros,0.144676295152656
2020-02-11,Otros,0.1421384596578479
2020-02-12,Otros,0.12916890195013228
2020-02-13,Otros,0.1277241327165702
2020-02-14,Otros,0.12615200829195622
2020-02-15,Otros,0.11928964479480432
2020-02-17,Otros,0.1142239420568413
2020-02-20,Otros,0.10989193202256581
2020-02-21,Otros,0.10880189919852895
2020-02-22,Otros,0.10016577275918966
2020-02-23,Otros,0.09764333429124705
2020-02-24,Otros,0.09512130680541618
2020-02-26,Otros,0.09544477244277744
2020-02-27,Otros,0.10849674100255366
2020-02-29,Otros,0.11865967835222524
2020-03-02,Otros,0.11827294526382216
2020-03-03,Otros,0.12486205100457234
2020-03-04,Otros,0.12446583733963955
2020-03-05,Otros,0.12513015050463508
2020-03-06,Otros,0.12116019706196575
2020-03-07,Otros,0.1207535786506031
2020-03-08,Otros,0.11464928822574166
2020-03-10,Otros,0.10670419242341388
2020-03-11,Otros,0.10594339703327964
2020-03-12,Otros,0.10233357582535285
2020-03-14,Otros,0.10265488380619926
2020-03-15,Otros,0.10227735020749036
2020-03-16,Otros,0.10293364441389702
2020-03-18,Otros,0.10184993017918427
2020-03-20,Otros,0.10038678739583282
2020-03-22,Otros,0.09963757846558348
2020-03-23,Otros,0.09780245919879728
2020-03-24,Otros,0.09527661546182045
2020-03-25,Otros,0.09453724956073754
2020-03-26,Otros,0.12581213578023356
2020-03-28,Otros,0.1254291044519543
2020-03-29,Otros,0.12433117516544188
2020-03-31,Otros,0.1239325815846234
2020-04-01,Otros,0.12174915885130166
2020-04-03,Otros,0.12134767404000434
2020-04-04,Otros,0.12167229653614595
2020-04-09,Otros,0.12194769082531627
2020-04-11,Otros,0.12192932183455854
2020-04-15,Otros,0.122582788529715
2020-04-16,Otros,0.11260849646391714
2020-04-21,Otros,0.11183252379159143
2020-04-22,Otros,0.1100322107764308
2020-04-25,Otros,0.10962735215435368
2020-04-30,Otros,0.11055759509738391
2020-05-02,Otros,0.11085187439101048
2020-05-03,Otros,0.11082072387775277
2020-05-06,Otros,0.11078902429707096
2020-05-09,Otros,0.10962716716604318
2020-05-10,Otros,0.10128832701715515
2020-05-12,Otros,0.09448963510606309
2020-05-14,Otros,0.09402414797928874
2020-05-17,Otros,0.08308015695976413
2020-05-19,Otros,0.08163263921135215
2020-05-20,Otros,0.08102276844867926
2020-05-21,Otros,0.08211998058147123
2020-05-22,Otros,0.08277150165925569
2020-05-23,Otros,0.08272629344229619
2020-05-25,Otros,0.08149218132603943
2020-05-26,Otros,0.08397664159449812
2020-05-29,Otros,0.08774923242132929
2020-05-30,Otros,0.08873872747135365
2020-05-31,Otros,0.09041908920616638
2020-06-01,Otros,0.08892313083778726
2020-06-02,Otros,0.09300125923174836
2020-06-03,Otros,0.09254819016512235
2020-06-04,Otros,0.09180221651844052
2020-06-07,Otros,0.0968387982274492
2020-06-08,Otros,0.09759076095944144
2020-06-09,Otros,0.13224849859081955
2020-06-12,Otros,0.099474272943333
2020-06-13,Otros,0.09991743960397945
2020-06-15,Otros,0.1012025281995107
2020-06-16,Otros,0.1007329777406556
2020-06-17,Otros,0.10026368054607718
2020-06-18,Otros,0.10034727035127822
2020-06-19,Otros,0.09994212395114627
2020-06-20,Otros,0.09906589022389359
2020-06-22,Otros,0.0990018050945693
2020-06-24,Otros,0.09853462018743052
2020-06-27,Otros,0.09954297404743642
2020-06-28,Otros,0.09986643895989572
2020-06-29,Otros,0.10006313635880446
2020-06-30,Otros,0.09966597435755761
2020-07-01,Otros,0.0982884189577509
2020-07-02,Otros,0.09815973970187887
2020-07-03,Otros,0.09835415895823428
2020-07-04,Otros,0.09906132294574717
2020-07-05,Otros,0.09835883334212815
2020-07-06,Otros,0.09583374070521852
2020-07-07,Otros,0.08913072867107187
2020-07-08,Otros,0.08843945686998962
2020-07-10,Otros,0.08887942520435409
2020-07-12,Otros,0.09005924282347967
2020-07-14,Otros,0.09091338384594413
2020-07-15,Otros,0.08997884318721776
2020-07-16,Otros,0.08964113911943175
2020-07-17,Otros,0.09029786235907233
2020-07-18,Otros,0.0931467834877541
2020-07-20,Otros,0.08915228582558109
2020-07-21,Otros,0.08456712120104792
2020-07-22,Otros,0.0835852015301386
2020-07-23,Otros,0.08213845316063251
2020-07-24,Otros,0.08293371443319261
2020-07-25,Otros,0.07919760705368917
2020-07-26,Otros,0.07929543363407562
2020-07-27,Otros,0.08218409657666777
2020-07-28,Otros,0.07621711346065685
2020-07-29,Otros,0.0763468620746376
2020-07-30,Otros,0.04457160976360505
2020-07-31,Otros,0.044951144427075644
2020-08-01,Otros,0.047790597631101606
2020-08-02,Otros,0.053054553485313155
2020-08-03,Otros,0.05511092732771863
2020-08-04,Otros,0.055637591950746204
2020-08-05,Otros,0.0562520014386493
2020-08-06,Otros,0.05768787680862102
2020-08-07,Otros,0.06047904632820818
2020-08-08,Otros,0.06358679829662463
2020-08-09,Otros,0.07648502671283874
2020-08-10,Otros,0.07785549048000456
2020-08-11,Otros,0.07777575545605347
2020-08-12,Otros,0.07951577826930524
2020-08-13,Otros,0.08109699141765632
2020-08-14,Otros,0.08368593383606833
2020-08-15,Otros,0.08478479168106881
2020-08-16,Otros,0.08848956808498032
2020-08-17,Otros,0.09105644217726999
2020-08-18,Otros,0.09119745941494128
2020-08-19,Otros,0.09595146527935919
2020-08-20,Otros,0.1031520472248751
2020-08-21,Otros,0.11264911521128851
2020-08-22,Otros,0.11538504958121518
2020-08-23,Otros,0.11736268976452527
2020-08-24,Otros,0.13667790421341536
2020-08-25,Otros,0.1364137756484643
2020-08-26,Otros,0.13929453166187103
2020-08-27,Otros,0.14811870847398345
2020-08-28,Otros,0.14648571299166163
2020-08-29,Otros,0.15946106946266464
2020-08-30,Otros,0.16625793355211047
2020-08-31,Otros,0.17203086634011497
2020-09-01,Otros,0.17823610595361852
2020-09-02,Otros,0.18194624242796936
2020-09-03,Otros,0.18596643276632463
2020-09-04,Otros,0.19843859761709948
2020-09-05,Otros,0.21121830946647613
2020-09-06,Otros,0.21522731898082542
2020-09-07,Otros,0.2202237582703969
2020-09-08,Otros,0.22265687073834145
2020-09-09,Otros,0.23254101501179159
2020-09-10,Otros,0.2522009345666563
2020-09-11,Otros,0.2517613252289141
2020-09-12,Otros,0.2548704208500594
2020-09-13,Otros,0.2667375203736034
2020-09-14,Otros,0.2858123442211155
2020-09-15,Otros,0.2870091682112146
2020-09-16,Otros,0.29974678416672523
2020-09-17,Otros,0.300944634001841
2020-09-18,Otros,0.30118083900520753
2020-09-19,Otros,0.3072089613485304
2020-09-20,Otros,0.3089770447950131
2020-09-21,Otros,0.30920895343281446
2020-09-22,Otros,0.3126728106903839
2020-09-23,Otros,0.31791057947061074
2020-09-24,Otros,0.32204112943156793
2020-09-25,Otros,0.32108844527191044
2020-09-26,Otros,0.3238361762983704
2020-09-27,Otros,0.3286186290697431
2020-09-28,Otros,0.32276681743967517
2020-09-29,Otros,0.31627432286616364
2020-09-30,Otros,0.316562635435957
