Date,Imports,Replicate
2020-12-30,3.3,1
2021-01-03,6.6,1
2021-01-06,3.3,1
2021-01-12,3.3,1
2021-01-13,23.099999999999998,1
2021-01-15,3.3,1
2021-01-16,13.2,1
2021-01-17,6.6,1
2021-01-18,3.3,1
2021-01-19,13.2,1
2021-01-21,3.3,1
